Rater;M023;M026;M044;M046;M051;M053;M058;M070;M071;M073;M075;M076;M077;M079;M082;M087;M088;M091;M092;M093;M095;M096;M097;M099;M100;M105;M106;M109;M112;M114;M115;M120;M121;M122;M125;M132;M133;M136;M139;M140;M141;M142;M143;M150;M154;M156;M157;M158;M163;M166;M168;M169;M171;M176;M177;M181;M182;M184;M186;M190;M192;M194;M195;M197;M199;M204
Col_F_attr740;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr741;NA;NA;NA;NA;NA;NA;6;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;5;NA;NA;NA;NA;5;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;NA;3;3
Col_F_attr742;NA;2;NA;2;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;2;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA
Col_F_attr743;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr745;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr746;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;3;NA;2;NA;3;NA;NA;NA;NA;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr747;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr748;NA;NA;6;5;NA;NA;NA;NA;5;NA;NA;5;NA;NA;NA;NA;NA;6;NA;5;NA;NA;NA;NA;NA;NA;NA;6;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;5;NA;5;NA;5;5;NA;NA;5;NA;NA;NA;NA;NA;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA
Col_F_attr749;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;4;4;NA;NA;4;NA;NA;NA;NA;NA;5;5;4;NA;NA;NA;NA;NA;5;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;4;NA;NA;NA;NA;4;NA;4;NA;NA;NA;NA;NA;4;NA
Col_F_attr750;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
Col_F_attr751;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr752;NA;NA;NA;NA;NA;NA;NA;4;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;NA;4;NA;NA;NA;NA;4;6;NA;NA;4;NA;NA;NA;NA;5;3;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr753;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr754;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr755;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr756;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr757;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr758;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;1;1;NA;1;NA;NA;NA;NA;5;NA;NA;NA;1;NA;2;2;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA
Col_F_attr759;3;NA;4;3;3;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;2;NA;NA;3;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;3;NA;2;NA;NA;3;NA;NA;3;NA;3;NA;NA;NA;3;NA;NA;NA;NA;4
Col_F_attr760;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;NA;NA;3;3;NA;NA;NA;3;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA
Col_F_attr761;NA;1;1;1;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA
Col_F_attr762;NA;NA;NA;1;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;2;NA;2;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;3;2;3;NA;NA;4;NA;2;NA
Col_F_attr763;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr764;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;NA;1;NA;NA;2;4;NA;NA;3;3;NA;NA;NA;NA;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr765;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr766;3;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;3;7;NA;NA;NA;NA;NA;3;NA;3;NA;NA;NA;3;NA;NA;NA;3;NA;NA;NA;3;NA;NA;4;NA;NA;NA;NA;NA;NA
Col_F_attr767;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;6;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;6;NA;NA;NA;NA;NA;5;3;NA;NA;5;NA;NA;NA;NA;NA;NA;5;NA;NA;4;NA;NA;5;4;5;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr768;NA;2;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;2;NA;NA;4;NA;NA;4;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;4;2;NA;NA
Col_F_attr769;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;2;NA;NA;NA;NA;NA;NA;4;NA;4;2;4;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;2;5;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr770;NA;NA;NA;4;NA;6;7;4;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;7;NA;NA;5;4;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4
Col_F_attr771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr772;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr773;5;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;4;NA;NA;2;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;5;NA;7;NA;NA;NA;4
Col_F_attr774;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr775;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr776;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;4;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;2;4;NA;NA;1;NA;3;NA;5;NA;NA;NA
Col_F_attr777;NA;5;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;5;4;NA;NA;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;3;3;NA;NA;NA;NA;NA;5;NA;NA;6;4
Col_F_attr778;NA;NA;7;NA;NA;4;NA;5;NA;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;3;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;NA;NA;4;NA;NA;NA;NA;NA;NA;5;NA;4;NA;NA
Col_F_attr779;NA;NA;NA;NA;NA;NA;NA;5;7;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;3;NA;2;NA;2;NA;6;2;5;NA;NA;NA;NA;NA;NA;NA;6
Col_F_attr780;NA;NA;NA;NA;4;5;NA;NA;NA;NA;NA;NA;4;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;6;4;NA;NA;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;4;NA;NA;NA;NA;NA;6;NA;NA;NA;5;NA;4;NA;4;NA;NA;NA;NA;NA;NA;NA
Col_F_attr781;NA;NA;4;NA;NA;3;NA;NA;NA;NA;NA;3;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;NA;5;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;3;3;4;NA;NA;NA;NA;3;6;NA;NA;NA;NA
Col_F_attr782;NA;NA;NA;NA;NA;NA;4;NA;4;NA;NA;NA;NA;NA;NA;NA;3;4;NA;5;NA;NA;NA;4;NA;NA;4;NA;NA;NA;4;NA;NA;NA;3;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;6;3;NA;NA
Col_F_attr783;NA;5;NA;2;NA;NA;NA;NA;NA;5;NA;5;NA;NA;NA;NA;NA;NA;4;5;NA;5;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;4;NA;NA;NA;NA;4;5;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;4;NA;NA;NA;5;NA;NA;NA;NA;NA;NA
Col_F_attr784;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr785;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr786;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;6;NA;NA;NA;NA;4;5;5;5;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;5;NA;6;7;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;6;NA;NA;6;NA
Col_F_attr787;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr788;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;4;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;6;4;NA;NA;NA;NA;NA;5;4;NA;4;NA;NA;NA;NA;4;6;NA;NA;NA;4;NA;NA
Col_F_attr789;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr790;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;6;NA;3;3;NA;5;NA;6;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA
Col_F_attr791;NA;NA;6;NA;NA;3;NA;6;3;NA;NA;NA;NA;NA;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;3;NA;NA;NA;NA;NA;3;NA;NA;NA;NA
Col_F_attr792;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr793;NA;4;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;NA;NA;NA;NA;NA;4;NA;4;4;NA;NA;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;NA
Col_F_attr794;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr795;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr796;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;4;NA;4;NA;NA;NA;NA;3;NA;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;NA;NA;4;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA
Col_F_attr797;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;NA;NA;NA;NA;NA;NA;NA;4;NA;4;NA;4;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;5;6;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr798;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;4;2;NA;NA;NA;2;NA;NA;5;NA;NA;NA;NA;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;3;NA;3;NA;2;NA;NA;2;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA
Col_F_attr799;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;3;NA;NA;3;2;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;2;2;NA;NA;2;NA;NA;NA
Col_F_attr800;NA;NA;NA;NA;4;NA;NA;4;NA;NA;3;4;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;5;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_F_attr801;NA;NA;NA;NA;3;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;4;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;3;NA;3;3;NA;3;NA;NA;3;NA;NA
Col_F_attr802;4;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;6;4;5;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;4;NA;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;6;NA;6;4;NA;NA;NA;NA;NA;NA;NA
Col_F_attr803;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;4;4;4;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;4;NA;4;4;NA;NA;4;NA;NA;NA;NA;NA;NA
Col_F_attr804;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;2;NA;NA;6;NA;NA;5;NA;2;NA;NA;NA;6;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;1;7;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;4;NA;NA;NA;NA;5;NA;5;NA
Col_F_attr805;6;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;5;6;4;NA;NA;NA;NA;NA;NA;4;NA;NA;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;7;NA;NA;4;4;NA;4;NA;NA;NA;NA;NA;NA;4;NA;NA;5;NA;NA;6;NA
Col_F_attr806;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;5;NA;5;NA;NA;4;NA;NA;NA;5;NA;NA;2;NA;NA;5;NA;NA;NA;NA;NA;5;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;NA;NA;5;NA
Col_F_attr807;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;2;2;6;NA;NA;NA;2;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA
Col_F_attr808;NA;NA;7;NA;NA;NA;NA;4;5;NA;NA;NA;5;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;4;5;NA;4;NA
