Culture_Year;Sex;ID;L_skin;L_iris;a_iris;b_iris;L_sclera;a_sclera;b_sclera;Age;Attr;SexT;Nat;Group;LOCAL_DIST;SexTypMeas;Asym
Cameroon_2013;M;ID60_1_M_CMR13_DSC_0255.jpg (Lab):L;32,442;5,501;3,158;-1,763;47,453;11,105;16,911;20;2,785714286;5,61038961;CMR;Cameroon_2013 M;0,077989989;-0,017769146;0,06705344
Cameroon_2013;M;ID69_2_M_CMR13_DSC_0309.jpg (Lab):L;38,813;4,711;3,133;-1,437;43,104;8,664;11,525;24;3,964285714;5,896103896;CMR;Cameroon_2013 M;0,055104616;0,964160126;0,068270316
Cameroon_2013;M;ID70_1_M_CMR13_DSC_0312.jpg (Lab):L;26,956;4,976;2,891;-2,867;42,341;10,205;11,198;23;5;6,25974026;CMR;Cameroon_2013 M;0,054877335;0,330747411;0,067936663
Cameroon_2013;M;ID71_1_M_CMR13_DSC_0304.jpg (Lab):L;36,801;6,011;3,739;-1,323;39,681;9,505;12,787;20;2,714285714;4,753246753;CMR;Cameroon_2013 M;0,067858499;1,878576398;0,074557739
Cameroon_2013;M;ID72_1_M_CMR13_DSC_0316.jpg (Lab):L;37,676;3,925;2,073;-2,389;42,509;12,603;16,387;24;3,25;6,025974026;CMR;Cameroon_2013 M;0,046215085;-1,208625957;0,070566077
Cameroon_2013;M;ID77_1_M_CMR13_DSC_DSC_0350.jpg (Lab):L;40,551;8,304;4,648;-0,544;41,372;12,297;18,228;21;2,392857143;6,363636364;CMR;Cameroon_2013 M;0,048894217;0,282655649;0,074884849
Cameroon_2013;M;ID78_2_M_CMR13_DSC_DSC_0343.jpg (Lab):L;31,409;3,863;3,104;0,302;36,467;10,745;14,261;23;2,714285714;4,974025974;CMR;Cameroon_2013 M;0,060394128;-2,328548296;0,081977596
Cameroon_2013;M;ID79_2_M_CMR13_DSC_DSC_0347.jpg (Lab):L;33,517;2,726;2,036;0,273;38,552;7,691;13,64;23;3,392857143;5,402597403;CMR;Cameroon_2013 M;0,050784658;0,170748125;0,08422181
Cameroon_2013;M;ID80_2_M_CMR13_DSC_0339.jpg (Lab):L;30,879;4,739;3,069;-1,403;46,508;6,12;10,932;21;3,75;5,38961039;CMR;Cameroon_2013 M;0,066084913;0,261827688;0,071048426
Cameroon_2013;M;ID85_2_M_CMR13_DSC_0372.jpg (Lab):L;33,67;11,444;8,071;2,701;42,535;10,623;13,879;22;3,714285714;5,779220779;CMR;Cameroon_2013 M;0,057512434;0,903708199;0,081647848
Cameroon_2013;M;ID86_1_M_CMR13_DSC_0383.jpg (Lab):L;37,621;3,926;2,76;-0,798;40,275;12,156;17,111;23;3,571428571;5,168831169;CMR;Cameroon_2013 M;0,057910827;-0,993114982;0,065750686
Cameroon_2013;M;ID87_1_M_CMR13_DSC_0379.jpg (Lab):L;33,992;7,084;3,464;-1,295;47,092;6,97;8,968;19;4,035714286;5,727272727;CMR;Cameroon_2013 M;0,043479308;0,888622835;0,069194657
Cameroon_2013;M;ID88_1_M_CMR13_DSC_0375.jpg (Lab):L;29,916;5,524;4,675;1,01;41,739;8,342;12,041;22;3;4,935064935;CMR;Cameroon_2013 M;0,081604136;-2,799296927;0,077388015
Cameroon_2013;M;ID93_3_F_CMR13_DSC_0408.jpg (Lab):L;42,78;5,825;4,252;-1;51,056;9,386;13,282;20;4,107142857;5,727272727;CMR;Cameroon_2013 M;0,067029438;0,88701624;0,072058868
Cameroon_2013;M;ID94_1_M_CMR13_DSC_0419.jpg (Lab):L;46,978;9,794;5,856;1,607;46,99;9,104;15,785;20;3,5;5,506493506;CMR;Cameroon_2013 M;0,037557789;0,515619881;0,0683245
Cameroon_2013;M;ID95_1_M_CMR13_DSC_0411.jpg (Lab):L;34,429;2,979;1,964;-1,667;27,979;9,748;11,003;24;3,785714286;5,922077922;CMR;Cameroon_2013 M;0,036983235;-0,060716024;0,075541702
Cameroon_2013;M;ID96_1_M_CMR13_DSC_0415.jpg (Lab):L;40,884;7,053;5,956;0,911;47,373;10,125;14,52;23;3,535714286;5,584415584;CMR;Cameroon_2013 M;0,043319119;0,846973903;0,069320776
Cameroon_2013;M;ID99_1_M_CMR13_DSC_0431.jpg (Lab):L;28,41;4,554;3,323;-1,151;43,446;7,972;13,347;20;3,428571429;4,311688312;CMR;Cameroon_2013 M;0,046466801;-0,662372848;0,068241907
Cameroon_2013;M;ID100_1_M_CMR13_DSC_0423.jpg (Lab):L;39,341;5,239;3,863;0,277;36,705;9,621;13,39;20;2,714285714;5,519480519;CMR;Cameroon_2013 M;0,036831974;0,016966118;0,07598089
Cameroon_2016;F;101F;52,107;9,8185;6,3999;2,1425;63,9667;5,3838;16,6574;27;3,918367347;5,765957447;CMR;Cameroon_2016 F;0,071029525;1,455535056;0,069634923
Cameroon_2016;F;102F;46,217;18,142;5,4689;0,6998;58,6965;11,6948;16,6289;24;2,87755102;4,553191489;CMR;Cameroon_2016 F;0,055076817;0,00827527;0,104674693
Cameroon_2016;F;103F;43,318;15,8751;6,9824;1,8853;57,6063;8,9961;20,6268;23;1,897959184;3,393617021;CMR;Cameroon_2016 F;0,066222132;1,320148507;0,067336823
Cameroon_2016;F;104F;46,4;16,4611;10,6896;8,4027;62,6286;10,1513;19,1692;18;2,265306122;3,765957447;CMR;Cameroon_2016 F;0,0877384;0,664045778;0,073182841
Cameroon_2016;F;105F;47,588;15,9659;6,4094;0,5884;66,3187;7,4433;14,4947;23;2,693877551;3,425531915;CMR;Cameroon_2016 F;0,03139011;-0,323136481;0,069747386
Cameroon_2016;F;106F;45,172;14,8563;7,8702;3,1836;64,1586;6,833;16,6414;20;2,93877551;4,35106383;CMR;Cameroon_2016 F;0,057659937;1,486666253;0,067811743
Cameroon_2016;F;113F;40,362;17,6786;7,6501;4,0178;66,2045;6,174;19,6798;20;4,142857143;4,904255319;CMR;Cameroon_2016 F;0,054529563;-0,919136037;0,063435625
Cameroon_2016;F;114F;53,13;13,3537;6,5429;2,371;55,6691;9,6518;18,2125;24;3,836734694;5,053191489;CMR;Cameroon_2016 F;0,054608664;0,816315111;0,094013811
Cameroon_2016;F;115F;45,218;14,4656;7,4904;1,7075;61,6123;5,3538;13,8186;19;4,12244898;5,372340426;CMR;Cameroon_2016 F;0,047789886;1,134034103;0,065878808
Cameroon_2016;F;116F;36,667;11,8805;6,1148;0,61;63,1689;7,8625;15,4926;21;2,204081633;3,79787234;CMR;Cameroon_2016 F;0,056737377;0,624011151;0,075961159
Cameroon_2016;F;117F;40,864;16,7679;5,6975;2,8265;62,8458;6,4427;19,8092;20;2,673469388;3,765957447;CMR;Cameroon_2016 F;0,054748531;0,509779269;0,070170712
Cameroon_2016;F;118F;39,038;14,2922;6,8071;2,761;63,8425;4,7824;17,9545;19;3,265306122;4,946808511;CMR;Cameroon_2016 F;0,052138371;1,346896575;0,063435298
Cameroon_2016;F;125F;49,073;15,8153;8,2081;4,2166;53,7554;7,6701;16,2627;21;3,510204082;4,840425532;CMR;Cameroon_2016 F;0,067554991;-1,002134092;0,071919305
Cameroon_2016;F;126F;34,596;16,1789;5,3103;2,618;66,2105;4,9599;12,889;21;2,612244898;3,904255319;CMR;Cameroon_2016 F;0,069570322;0,263367784;0,104850777
Cameroon_2016;F;127F;40,602;18,027;8,5044;4,5565;67,8644;8,0036;14,1486;21;2,959183673;4,223404255;CMR;Cameroon_2016 F;0,081881449;2,653593009;0,064697822
Cameroon_2016;F;128F;39,198;15,1119;7,3615;3,3929;63,1888;3,8195;11,2859;21;3,510204082;4,787234043;CMR;Cameroon_2016 F;0,050789777;0,375746971;0,085320766
Cameroon_2016;F;129F;43,096;15,3913;6,7254;2,0305;63,7807;9,6863;16,0935;21;2,87755102;4,159574468;CMR;Cameroon_2016 F;0,04240465;-0,037204211;0,072607875
Cameroon_2016;F;130F;39,494;15,9456;8,0666;5,6871;55,1845;9,2174;15,3697;19;2,836734694;4,585106383;CMR;Cameroon_2016 F;0,050565912;1,224293745;0,065183354
Cameroon_2016;F;131F;60,566;16,4044;7,1474;6,3183;61,3656;5,7849;16,5092;21;3,244897959;5,212765957;CMR;Cameroon_2016 F;0,05834016;1,072349992;0,082986143
Cameroon_2016;F;132F;42,533;13,778;6,6673;3,5813;56,9327;9,6587;22,4152;22;2,367346939;4,255319149;CMR;Cameroon_2016 F;0,051335425;-1,165361229;0,092308008
Cameroon_2016;F;133F;44,876;15,1114;6,8597;4,7207;52,2269;9,3226;21,6626;22;2,816326531;4,138297872;CMR;Cameroon_2016 F;0,076785088;1,014435637;0,094976155
